1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
Sheik,2,0,3,0,2,0,99,256,124,34,Force,2,1,3,0,2,45,344,436,160,49,Fox,2,2,3,0,3,32,258,367,141,24,Samoose,2,4,3,0,4,1,302,382,148,29,HIMOM,1,4,2,1,5,1,364,330,161,35,ZERO,1,3,2,0,4,51,265,386,205,37,Sheik,2,4,3,1,4,22,409,358,140,37,Fox,1,2,2,1,3,12,322,311,134,29
Ben,1,5,1,1,2,50,299,232,200,33,REDPANTS,1,5,2,0,2,45,398,263,126,49,Zenith,1,3,2,0,3,32,326,360,159,32,Force,1,3,2,1,4,1,335,270,151,39,ZERO,1,1,1,0,5,1,344,305,163,40,marcman!,1,2,3,0,4,33,324,441,161,25,ASHEN,1,3,2,1,4,22,341,370,154,36,TAG,2,2,3,0,3,12,296,441,156,31
XY-10,1,1,1,0,2,50,334,186,96,32,XY-10,1,0,2,1,2,45,379,297,126,38,Nemesis,2,1,3,0,3,15,350,303,130,43,NoTAP,2,0,3,0,2,54,265,307,109,31,Altinator,2,0,3,0,3,47,315,411,208,28,Ben,2,4,4,1,4,51,561,513,140,31,Altinator,2,0,3,0,2,38,163,188,104,20,ZERO,1,3,2,0,3,12,200,292,154,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOODBUNNY,2,1,3,0,2,33,161,361,127,26,SOTRH,2,1,3,0,4,3,248,427,170,36,REDPANTS,2,2,3,1,3,20,337,310,118,34,PLSNERF,2,3,3,0,3,29,375,360,127,30,Nemesis,1,6,2,0,3,54,436,366,172,48,REDPANTS,2,1,3,1,2,8,259,212,143,33,MM500,1,2,2,1,3,2,399,227,88,34,Vars,2,3,3,0,6,8,389,399,168,40
Sharknado,1,5,1,0,2,58,468,234,121,54,Pawn,1,1,3,1,3,38,294,329,145,34,Sheik,1,4,2,0,3,24,303,285,143,37,MM500,1,3,2,0,5,15,431,313,148,32,Samoose,2,0,3,0,3,54,248,402,168,36,RABBITEARD,1,1,1,1,2,8,99,172,95,18,KingONerds,2,2,3,1,3,2,297,383,156,33,Zenith,1,1,3,0,5,10,196,441,186,20
Force,1,1,1,0,2,58,334,239,140,56,CDJ,1,5,2,1,4,3,470,311,159,37,ZERO,1,1,1,0,3,24,299,274,167,39,US8,2,1,3,0,5,15,222,486,177,22,Precision,2,3,3,0,3,21,272,306,126,41,youngster,2,0,3,0,1,31,78,316,144,35,Varz,2,1,3,2,2,1,235,343,151,43,Sheik,1,5,2,1,6,8,502,344,111,29
JMZ,2,1,3,0,2,58,192,415,166,23,RABBITEARD,2,2,3,0,2,37,241,289,110,26,Varz,2,1,3,0,3,24,179,327,132,29,ZERO,1,3,2,0,5,15,339,314,137,40,marcman!,1,0,2,2,3,16,227,267,155,37,MM500,1,4,1,0,2,8,205,267,181,28,CDJ,1,1,2,0,3,2,312,326,149,36,BookWyrm,2,1,3,0,2,21,107,335,149,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision,1,2,0,0,2,42,246,158,138,43,Nemesis,1,4,2,1,3,42,679,279,165,51,PLSNERF,2,0,3,0,2,33,232,306,125,33,Altinator,1,1,1,0,2,51,285,227,139,36,PLSNERF,1,4,2,0,4,26,519,353,180,40,KingONerds,1,4,2,0,6,4,555,348,167,44,youngster,2,0,3,1,3,6,185,538,353,25,Nemesis,1,1,1,0,2,40,379,169,86,55
